id;artist;song;apple_id;youtube_id;video_start;rank
1;Клава Кока & MORGENSHTERN;Мне пох;;ymC66795MNE;00:00:40;1
2;NILETTO;Любимка;;xSgT4ZtT5M0;00:01:02;2
3;GAYAZOV$ BROTHER$;Увезите меня на Дип-хаус;;pUov86haT88;00:01:02;3
4;JONY;Комета;;cRGCb05Zl9k;00:00:27;4
5;Trevor Daniel;Falling;;o71ggIZ1CAk;00:01:46;5
6;Tones and I;Dance Monkey;;q0hyYWKXF0Q;00:01:43;6
7;The Limba;Смузи;;6Od0EEbmvZs;;7
8;THRILL PILL;Грустная Песня (feat. Егор Крид & MORGENSHTERN);;pHJZhBLCbu0;;8
9;Zivert;Credo;;PtavPTx6AaA;;9
10;Big Baby Tape;Trap Luv;;sTuEA70sz2Y;;10
11;Tyga;Ayy Macarena;;k30tMU5XdTw;;11
12;The Weeknd;Blinding Lights;;o6ytLPKscrU;;12
13;Juice WRLD;Lucid Dreams;;mzB1VGEGcSU;;13
14;Billie Eilish;everything i wanted;;qCTMq7xvdXU;;14
15;Jah Khalib;Джадуа;;oaxRe-99SgI;;15
16;LOBODA;Новый Рим;;K2Ua2jXtVfk;;16
17;Billie Eilish;bad guy;;DyDfgMOUjCI;;17
18;Мэвл;Холодок;;tZruUh0Yvp8;;18
19;Artik & Asti;Грустный дэнс (feat. Артём Качер);;XnrXCpHBor8;;19
20;LOBODA;Мира мало;;UtCVlLp-IxQ;;20
21;HammAli & Navai;Прятки;;p39HcuQNlg4;;21
22;ELMAN;Лети;;c2AwqbDQfL4;;22
23;Zivert;Beverly Hills;;UgIPrjMdYEw;;23
24;SALUKI;Вторник;;DKIOhhskjk0;;24
25;SAINt JHN;Roses (Imanbek Remix);;WJvteK5I4WQ;;25
